City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,vila velha,-20.3297,-40.2925,29.97,75,20,1.79,BR,1707676529
247,pak phanang,8.3511,100.202,26.12,77,74,5.69,TH,1707676529
248,north bend,43.4065,-124.2243,13.29,93,100,3.09,US,1707676298
249,callao,-12.0667,-77.15,28.16,65,75,5.14,PE,1707676038
250,viransehir,37.2353,39.7631,10.88,70,8,2.66,TR,1707676530
251,mandalgovi,45.7625,106.2708,-11.15,82,5,4.91,MN,1707676531
252,bracebridge,45.0334,-79.3163,1.04,86,100,3.09,CA,1707676264
253,borisovka,50.6236,35.9903,-0.92,99,100,5.0,RU,1707676532
254,mossel bay,-34.1831,22.146,20.96,87,11,4.04,ZA,1707676219
255,sur,22.5667,59.5289,22.01,83,100,2.82,OM,1707676533
256,severo-yeniseyskiy,60.3725,93.0408,-18.08,94,100,4.31,RU,1707676223
257,chandbali,20.7833,86.7667,19.4,46,25,2.06,IN,1707676533
258,suhbaatar,50.2314,106.2078,-9.45,89,100,1.7,MN,1707676534
259,san justo,-30.7891,-60.5919,40.28,26,0,4.11,AR,1707676535
260,laem sing,12.4816,102.0738,24.55,63,5,4.69,TH,1707676535
261,pemangkat,1.1667,108.9667,27.47,79,100,11.06,ID,1707676536
262,linkou,45.3,130.2833,-16.56,99,68,2.15,CN,1707676536
263,al kharijah,25.4514,30.5464,16.19,25,0,1.8,EG,1707676118
264,tambacounda,13.7539,-13.7586,40.03,13,0,2.06,SN,1707676505
265,badger,64.8,-147.5333,-7.05,93,100,2.06,US,1707676441
266,majene,-3.5403,118.9707,25.63,91,100,7.23,ID,1707676539
267,polyarnyy,69.1989,33.4478,-15.86,93,100,3.05,RU,1707676539
268,mingora,34.7758,72.3625,9.0,34,97,3.32,PK,1707676466
269,glace bay,46.1969,-59.957,5.48,83,75,5.66,CA,1707676523
270,garachico,28.7781,-17.7646,19.06,78,75,1.03,ES,1707676541
271,maumere,-8.6199,122.2111,26.84,83,72,2.88,ID,1707676381
272,novyy urengoy,66.0833,76.6333,-26.37,97,99,4.65,RU,1707676543
273,monroeville,40.4212,-79.7881,7.71,69,75,2.57,US,1707676544
274,benguela,-12.5763,13.4055,27.94,81,99,0.65,AO,1707676544
275,kill devil hills,36.0307,-75.676,22.0,81,100,3.6,US,1707676432
276,isla mujeres,21.2311,-86.731,28.03,75,0,8.51,MX,1707676545
277,salamanca,40.8333,-6.0,6.0,95,100,5.88,ES,1707676339
278,azul,-36.777,-59.8585,33.14,39,19,3.83,AR,1707676546
279,bytow,54.1706,17.4919,3.45,98,100,3.69,PL,1707676547
280,tarawa,1.419,172.984,28.05,83,75,4.12,KI,1707676270
281,kerikeri,-35.2268,173.9474,12.17,91,5,3.01,NZ,1707676548
282,maswa,-2.6833,33.9833,20.13,81,10,1.55,TZ,1707676549
283,nahiyat ash shinafiyah,31.5874,44.6602,14.79,72,70,1.74,IQ,1707676549
284,jagdalpur,19.0667,82.0333,19.55,61,87,1.69,IN,1707676549
285,broome,42.2506,-75.833,4.79,77,100,4.12,US,1707676550
286,borger,52.9233,6.7931,8.89,91,100,2.45,NL,1707676550
287,nabinagar,23.8917,90.9733,17.45,48,99,2.58,BD,1707676551
288,bac lieu,9.285,105.7244,24.45,71,0,4.56,VN,1707676551
289,moires,35.0532,24.8744,16.73,72,100,1.34,GR,1707676552
290,ta`u,-14.2336,-169.5144,28.52,81,100,5.52,AS,1707676099
291,marolambo,-20.05,48.1167,22.2,100,100,0.32,MG,1707676554
292,ajasse ipo,8.2333,4.8167,31.08,28,6,1.86,NG,1707676554
293,vyerkhnyadzvinsk,55.7815,27.9443,-1.12,97,100,3.72,BY,1707676555
294,sisteron,44.1876,5.9462,8.0,89,27,3.88,FR,1707676555
295,usman',52.0466,39.7288,-2.73,96,100,4.92,RU,1707676556
296,yung shue wan,22.2333,114.1167,17.01,60,5,0.45,HK,1707676557
297,barguzin,53.6167,109.6167,-5.49,90,100,2.77,RU,1707676557
298,halden,59.1226,11.3871,-2.98,89,100,5.28,NO,1707676558
299,indramayu,-6.3264,108.32,26.15,83,99,2.25,ID,1707676558
300,nizhniy kuranakh,58.8353,125.4869,-11.88,97,100,1.02,RU,1707676559
301,barra de santo antonio,-9.4047,-35.5072,30.6,74,100,4.53,BR,1707676559
302,embi,48.8264,58.1442,-20.06,88,85,2.25,KZ,1707676560
303,reni,45.4573,28.2932,14.6,59,95,8.64,UA,1707676560
304,chibougamau,49.9168,-74.3659,-8.21,73,100,3.6,CA,1707676102
305,katsuura,35.1333,140.3,3.77,97,98,3.9,JP,1707676117
306,tintafor,8.6267,-13.215,27.01,77,53,4.53,SL,1707676562
307,somma vesuviana,40.8716,14.4361,11.66,84,40,5.14,IT,1707676562
308,klaksvik,62.2266,-6.589,5.51,91,87,8.52,FO,1707676563
309,fale old settlement,-9.3852,-171.2468,26.95,88,100,7.93,TK,1707676162
310,banjarmasin,-3.3244,114.591,25.08,97,100,1.52,ID,1707676033
311,mar del plata,-38.0023,-57.5575,28.01,75,0,5.14,AR,1707676564
312,bayji,34.9311,43.487,16.37,50,0,2.35,IQ,1707676565
313,wajir,1.7471,40.0573,32.77,25,84,3.68,KE,1707676130
314,watampone,-4.5386,120.3279,24.26,94,100,2.99,ID,1707676566
315,laojunmiao,39.8333,97.7333,-2.32,21,31,1.36,CN,1707676566
316,walvis bay,-22.9575,14.5053,20.53,73,29,1.03,NA,1707676567
